Họ và Tên,Ngày Sinh,Vị Trí,Câu Lạc Bộ,Số Áo
Nguyễn,23/10/1994,Tiền Vệ,Việt Nam,23
Nguyễn Văn Toản,26/11/1999,Thủ Môn,Việt Nam,23
Bùi Tấn Trường,19/02/1986,Tiền Đạo,Việt Nam,24
Nguyễn Văn Hoàng,17/02/1995,Thủ Môn,Việt Nam,25
Nguyễn Quang Hải,12/04/1997,Tiền Vệ,Việt Nam,19
Lương Xuân Trường,28/04/1995,Tiền Vệ,Việt Nam,6
Đoàn Văn Hậu,19/04/1999,Hậu Vệ,Việt Nam,5
Nguyễn Phong Hồng Duy,13/06/1996,Hậu Vệ,Việt Nam,7
Phan Văn Đức,11/04/1996,Tiền Vệ,Việt Nam,20
Trần Minh Vương,28/03/1995,Tiền Vệ,Việt Nam,26
Hà Đức Chinh,22/09/1997,Tiền Đạo,Việt Nam,18
